请在下方树形结构中点选新分组的父级归属（支持多级折叠/展开与双击选定）：	Select the parent group from the tree below (supports multi-level fold/expand and double-click):
请从左侧双击主机发起连接，或点击右上角 + 快速新建本地/远程终端	Double-click a host to connect, or click + to open a new local/remote terminal
新建凭据	New Credential
凭据名称 *	Credential Name *
凭据名称:	Credential Name:
凭据显示名称 *	Credential Display Name *
凭据名称	Credential Name
凭据类型	Credential Type
密码	Password
密钥	Key
账号密码	Account & Password
SSH 密钥对	SSH Key Pair
类型: 密码	Type: Password
类型: 密钥	Type: Key
类型: Agent	Type: Agent
默认登录用户名	Default Login Username
默认登录用户名 *	Default Login Username *
登录密码	Login Password
登录密码 *	Login Password *
私钥内容 (Private Key PEM) *	Private Key PEM *
私钥内容 (OpenSSH PEM 格式)	Private Key Content (OpenSSH PEM format)
私钥保护口令 (可选)	Private Key Passphrase (Optional)
私钥保护口令 (Passphrase)	Key Passphrase
导出的 SSH 公钥 (可配置于目标机器 authorized_keys)	Exported SSH Public Key (for target authorized_keys)
公钥指纹 (SHA256)	Public Key Fingerprint (SHA256)
命名管道路径	Named Pipe Path
Agent 管道路径 *	Agent Pipe Path *
Agent 标识	Agent Identifier
常用 Agent 快速预设 (点击一键填入管道路径)	Common Agent Presets (click to autofill pipe path)
一键生成密钥对	Generate Keypair
重新生成密钥对	Regenerate Keypair
重新生成随机密码	Regenerate Random Password
随机生成强密码	Generate Strong Password
未设置用户	User Not Set
未生成指纹	Fingerprint Not Generated
未导入私钥	Private Key Not Imported
外部代理	External Agent
管道: 	Pipe: 
项凭据 · 实时保护	credentials · live protected
尚未录入凭据	No credentials enrolled
请从左侧选择凭据以查看详情	Select a credential on the left to view details
1Password 密码管理器内置 SSH 认证代理管道	1Password built-in SSH authentication agent pipe
Windows 内置 OpenSSH Authentication Agent 服务管道	Windows built-in OpenSSH Authentication Agent service pipe
Bitwarden / Vaultwarden 桌面端托管 SSH 代理	Bitwarden / Vaultwarden desktop managed SSH agent
KeePassXC 本地密码库 SSH Agent 代理	KeePassXC local database SSH Agent proxy
PuTTY / WinSCP Pageant 经典认证协议代理	PuTTY / WinSCP Pageant authentication agent
GnuPG / YubiKey 智能卡 SSH 认证代理管道	GnuPG / YubiKey Smart Card SSH agent pipe
新建代码片段	New Snippet
新建代码片段文件夹	New Snippet Folder
新建子片段	New Child Snippet
片段名称	Snippet Name
片段标题:	Snippet Title:
未命名片段	Unnamed Snippet
文件夹名称	Folder Name
上级文件夹 (可选多层嵌套)	Parent Folder (Multi-level nesting)
脚本代码	Script Code
脚本命令:	Script Command:
自动追加回车执行	Auto Append Enter to Execute
支持拖拽调序、跨分组归类与参数化变量 {{var}}	Supports drag-and-drop reordering, nesting, and parameterized {{var}}
在此输入代码片段或 Shell 脚本内容 (支持 {{var}} 动态参数占位符)...	Enter snippet or Shell script here (supports {{var}} dynamic parameter placeholders)...
输入代码片段名称...	Enter snippet name...
如：Docker 容器运维、K8s 排障...	e.g. Docker ops, K8s troubleshooting...
可选：添加代码片段的说明或使用注意事项...	Optional: Add notes or usage considerations for this snippet...
检测到动态参数:	Dynamic Parameters Detected:
填充动态参数执行代码片段	Fill Parameters to Execute Snippet
合成命令预览:	Rendered Command Preview:
一键注入执行	Inject & Execute
▶ 填入终端	▶ Paste into Terminal
选择左侧代码片段进行查看或编辑	Select a snippet on the left to view or edit
项	Items
本地工作目录 (Local Disk)	Local Working Directory (Local Disk)
未打开远程 SFTP 会话	No Remote SFTP Session Open
请在左侧主机列表双击选择主机，或点击右上角「+」连接远程主机	Double-click a host on the left or click '+' at top right to connect
连接远程主机	Connect Remote Host
打开文件	Open File
选择并打开文件会话	Select and Open File Session
新建文件	New File
新建文件夹	New Folder
删除文件夹	Delete Folder
进入目录	Enter Directory
上传	Upload
下载	Download
上传到远程	Upload to Remote
下载到本地	Download to Local
重新上传	Retry Upload
重新下载	Retry Download
暂停传输	Pause Transfer
继续传输	Resume Transfer
停止传输	Stop Transfer
传输队列	Transfer Queue
传输进度	Transfer Progress
传输速度	Transfer Speed
↑ 上传速率	↑ Upload Speed
↓ 下载速率	↓ Download Speed
↑ 上传文件到当前目录	↑ Upload Files to Current Directory
▤ 常用远程目录书签	▤ Remote Bookmarks
文件大小	File Size
大小	Size
权限	Permissions
修改时间	Modified Time
名称	Name
目标路径	Target Path
源路径 (文件名 / 目录)	Source Path (File / Folder)
个任务	tasks
(总进度)	(Total Progress)
个传输任务进行中 - 点击展开	transfer tasks in progress - click to expand
(当前无活动任务 - 点击展开)	(No active tasks - click to expand)
本地项: 	Local items: 
远程项: 	Remote items: 
文件传输队列与实时任务	File Transfer Queue & Live Tasks
端口转发	Port Forwarding
端口转发 (Port Forwarding)	Port Forwarding
端口转发与隧道	Port Forwarding & Tunnels
端口转发工作模式	Forwarding Mode
本地正向 (-L)	Local Forwarding (-L)
远程反向 (-R)	Remote Forwarding (-R)
动态网关 (-D)	Dynamic Gateway (-D)
反向动态 (-R)	Reverse Dynamic (-R)
跳板机	Jump Host
跳板机 (JumpHost / Bastion)	Jump Host (JumpHost / Bastion)
出网代理池 (Proxy Server)	Outbound Proxy Pool (Proxy Server)
出网代理资产 (供主机绑定)	Outbound Proxy Assets (for host binding)
跳板中继资产 (供主机绑定)	Jump Relay Assets (for host binding)
OpenSSH ProxyJump (-J) 堡垒中继资产	OpenSSH ProxyJump (-J) Bastion Relay Assets
HTTP / HTTPS / SOCKS5 静态出网代理资产	HTTP / HTTPS / SOCKS5 Static Outbound Proxy Assets
本地、远端或动态 SOCKS5 端口转发与穿透	Local, remote, or dynamic SOCKS5 port forwarding and tunneling
配置 ProxyJump 堡垒机中继，供主机连接时绑定	Configure ProxyJump bastion relay for host connection binding
配置 HTTP / SOCKS5 代理节点，供主机统一出网	Configure HTTP / SOCKS5 proxy node for unified host egress
新建网络与隧道规则	New Network & Tunnel Rule
请选择您要创建的资产类型，将为您打开专属配置表单	Select the asset type to open its configuration form
新建端口转发规则	New Port Forwarding Rule
新建跳板机配置	New Jump Host Config
新建出网代理配置	New Outbound Proxy Config
编辑端口转发规则	Edit Port Forwarding Rule
编辑跳板机配置	Edit Jump Host Config
编辑出网代理配置	Edit Outbound Proxy Config
规则描述名称	Rule Description Name
跳板机链路描述名称	Jump Chain Description Name
代理资产描述名称	Proxy Asset Description Name
关联 SSH 宿主主机	Associated SSH Host
点击选择关联的 SSH 宿主主机...	Click to select associated SSH host...
未关联主机 (直连网关)	No Host Associated (Direct Gateway)
本地监听端口 (Local Port)	Local Listen Port (Local Port)
远端目标服务端口 (Remote Port)	Remote Target Service Port (Remote Port)
本地目标服务端口 (Local Port)	Local Target Service Port (Local Port)
远程公网监听端口 (Remote Port)	Remote Public Listen Port (Remote Port)
本地 SOCKS5 网关监听端口 (Local Port)	Local SOCKS5 Gateway Listen Port (Local Port)
远程 SOCKS5 网关监听端口 (Remote Port)	Remote SOCKS5 Gateway Listen Port (Remote Port)
客户端启动时自启	Start on Client Launch
断线自动重连	Auto Reconnect on Disconnect
启用传输压缩 (-C)	Enable Compression (-C)
由代理服务器远程解析 DNS	Remote DNS Resolution via Proxy
备注说明与业务用途	Notes & Business Purpose
级联跳板主机顺序 (ProxyJump Chain)	Jump Host Cascade Order (ProxyJump Chain)
+ 添加跳板中继主机 (从资产树选择)	+ Add Jump Relay Host (Select from tree)
尚未添加任何跳板主机节点	No jump host nodes added yet
请点击下方按钮从现有的主机资产树中添加第一跳中继机	Click button below to add first hop relay from existing hosts
代理协议类型	Proxy Protocol Type
代理服务器地址 (IP 或域名)	Proxy Server Address (IP or Domain)
代理服务端口 (Port)	Proxy Service Port (Port)
认证用户名 (可选，留空无需认证)	Auth Username (Optional, blank if none)
认证密码 (可选，留空无需认证)	Auth Password (Optional, blank if none)
全局代理环境变量预览	Global Proxy Environment Variables Preview
(待填写代理地址与端口)	(Fill proxy address and port)
OpenSSH ProxyJump 级联调用参数预览 (-J)	OpenSSH ProxyJump Arguments Preview (-J)
-J <尚未选择启用跳板节点>	-J <No jump nodes selected yet>
启动隧道	Start Tunnel
停止隧道	Stop Tunnel
直连	Direct
直连网关	Direct Gateway
旁路	Bypass
内网转发直达	Intranet Forwarding Direct
远端应用 (SOCKS5 客户端)	Remote App (SOCKS5 Client)
目标远程服务 / 机器	Target Remote Service / Machine
任意动态网络目标	Arbitrary Dynamic Network Target
未配置远端	Remote Not Configured
远端	Remote
远端: 	Remote: 
远端:	Remote:
宿主: 	Host: 
(SOCKS5 代理网关)	(SOCKS5 Proxy Gateway)
(远端 SOCKS5 代理网关)	(Remote SOCKS5 Proxy Gateway)
累计入站流量 (Rx)	Total Inbound Traffic (Rx)
累计出站流量 (Tx)	Total Outbound Traffic (Tx)
活跃客户端连接	Active Client Connections
个 TCP 会话	TCP sessions
级跳板中继	hops relay
活跃连接	active connections
请在下方资产树中点选用于建立端口转发的 SSH 宿主主机：	Select SSH host from tree below to establish port forwarding:
请在下方资产树中点选要加入跳板链路的中继主机：	Select relay host from tree below to add to jump chain:
请从左侧选择网络规则，或点击 [+ 新建规则] 配置端口转发与跳板堡垒	Select a network rule on the left, or click [+ New Rule] to configure
时间流	Timeline
按主机	By Host
会话历史详情与终端快照	Session History Details & Terminal Snapshot
未连接主机	No Connected Host
连接与断开时间	Connect & Disconnect Times
统计时长	Total Duration
终端输出快照	Terminal Screen Snapshot
（无屏幕记录）	(No screen capture recorded)
该会话在建立快照机制前断开，或会话执行过程中未产生屏幕文本输出	Session disconnected before snapshot or produced no terminal output
返回终端 (ESC)	Back to Terminal (ESC)
返回终端视口	Back to Terminal Viewport
发起连接	Connect
移除记录	Remove Record
关闭其他会话	Close Other Sessions
通用与窗口	General & Window
通用与窗口交互	General & Window Interactions
控制客户端界面语言、启动流程与后台挂起行为	Configure UI language, launch flow, and background suspension behavior
界面显示语言 (Language)	UI Display Language (Language)
设置客户端主界面展示的默认语言	Choose the display language for the client user interface
中央终端视口	Central Terminal Viewport
应用启动时默认视图 (Startup View)	Startup View
冷启动桌面客户端时自动聚焦的初始页面	Initial view automatically focused when client launches
点击窗口关闭按钮时行为	Close Window Button Action
关闭主窗口时最小化到系统托盘，持续保持后台网络隧道与 SSH 会话不掉线	Minimize to system tray on close to keep SSH sessions and tunnels alive
桌面气泡消息通知	Desktop Toast Notifications
在终端长命令执行完毕、文件传输成功或网络隧道自动重连时弹出系统通知	Show desktop alerts when long commands finish, transfers succeed, or tunnels reconnect
外观与视效	Appearance & Visuals
外观与主题配色	Appearance & Color Themes
个性化定制客户端主视觉、终端 ANSI 调色板与背景毛玻璃壁纸	Customize UI aesthetic, terminal ANSI palette, and acrylic wallpaper
配色主题方案 (Color Theme)	Color Theme
选择全局 UI 与终端调色板（实时热生效）	Choose global UI and terminal palette (applies instantly in real-time)
背景磨砂壁纸模式 (Wallpaper & Acrylic)	Wallpaper & Acrylic Frosted Glass Mode
开启现代化亚克力毛玻璃底衬，支持全局透底或终端视口独立透底	Enable modern acrylic frosted glass backdrop, supporting global or terminal-only opacity
纯色无壁纸	Solid Color (No Wallpaper)
全局毛玻璃磨砂	Global Acrylic Frosted
仅终端视口透底	Terminal Viewport Only
壁纸磨砂不透明度 (Opacity)	Wallpaper Frosted Opacity
调节背景壁纸透光度 (推荐 15% ~ 25%，过高可能影响终端可读性)	Adjust background opacity (recommended 15%-25%; higher may affect readability)
终端引擎排版	Terminal Typography
终端引擎与排版首选项	Terminal Engine & Typography Preferences
配置 VT100 字符渲染字模、等宽字体族、光标形态与剪贴板交互行为	Configure VT100 glyph rasterization, monospace fonts, cursor styles, and clipboard
等宽字体族 (Font Family)	Monospace Font Family
选择终端光栅化渲染等宽字体 (建议预装 Nerd Font 图标字体)	Select monospace font for terminal rasterization (Nerd Font recommended)
终端字号大小 (Font Size)	Terminal Font Size
字符像素栅格大小 (默认 13px，可无级微调)	Character pixel raster size (default 13px, smoothly adjustable)
划词自动复制到剪贴板 (Copy on Select)	Copy on Select
在终端视口中用鼠标选中文字时，立即自动复制，无需手动按快捷键	Automatically copy selected text in terminal viewport without pressing shortcut keys
鼠标右键单击快速粘贴 (Paste on Right Click)	Paste on Right Click
在终端视口右击直接粘贴当前系统剪贴板文本	Right-click anywhere inside the terminal viewport to instantly paste clipboard text
粘贴多行或含回车命令时前置告警	Warn Before Pasting Multi-line or Enter Commands
防止意外在生产服务器直接执行复制进来的换行危险命令	Prevent accidental execution of dangerous multi-line commands on production servers
网络与 SSH	Network & SSH
网络传输与 SSH 链路策略	Network Transport & SSH Connection Policies
配置默认连接超时、TCP 心跳保活与自动重连退避算法	Configure default timeout, TCP keepalive heartbeat, and reconnect backoff algorithms
SSH 连接超时时间 (Connection Timeout)	SSH Connection Timeout
在发起 SSH 握手或 TCP 套接字建立时的最大等待时间	Maximum waiting time when establishing SSH handshake or TCP sockets
秒 (默认 30s)	seconds (default 30s)
TCP 心跳保活探测间隔 (ServerAliveInterval)	TCP Keepalive Heartbeat Interval (ServerAliveInterval)
向远程主机定期发送空数据包，防止因云防火墙或 NAT 映射空闲超时而被强行断开	Send periodic empty packets to remote host to prevent idle disconnects by firewalls or NAT
每	Every
秒发送一次保活包	seconds send a keepalive packet
网络异常断线自动重连 (Auto Reconnect)	Auto Reconnect on Network Failure
当网络闪断或链路重置时，自动以指数退避算法 (1s, 2s, 4s, 8s...) 尝试静默重连	Automatically attempt silent reconnect using exponential backoff (1s, 2s, 4s, 8s...) on link resets
快捷键绑定	Keybindings
快捷键与全局键位映射	Keybindings & Global Key Mappings
查看并自定义高频终端操作、多窗格分屏与命令面板的快捷操作	View and customize shortcuts for terminal operations, pane splitting, and command palette
操作分类	Operations
新建终端会话 Tab	New Terminal Session Tab
垂直拆分当前窗格	Split Current Pane Vertically
水平拆分当前窗格	Split Current Pane Horizontally
独占全屏最大化当前窗格	Maximize Current Pane to Fullscreen
关闭当前聚焦窗格	Close Current Focused Pane
在终端历史缓冲区查找	Find in Terminal History Buffer
清屏并重置视口	Clear Screen and Reset Viewport
呼出全局命令调色板	Open Global Command Palette
打开偏好设置中心	Open Preferences Center
分屏	Split Screen
全局	Global
数据备份与迁移	Backup & Migration
数据备份与导入	Backup & Import
数据备份、导入与跨工具迁移	Data Backup, Import & Cross-Tool Migration
导出完整加密备份包、从系统 OpenSSH 与第三方终端工具一键导入资产、管理本地配置历史快照	Export encrypted backup archive, import assets from OpenSSH and third-party tools, and manage snapshots
⤓ 导出全量加密备份文件 (.toml / .json)	⤓ Export Full Encrypted Backup Archive (.toml / .json)
包含所有主机资产、分组层级树、凭据保管箱、常用代码片段与网络隧道规则	Includes all host assets, group tree hierarchy, credentials vault, snippets, and tunnel rules
⤓ 立即导出备份包	⤓ Export Backup Archive Now
📥 一键扫描并导入本机 ~/.ssh/config	📥 Scan and Import Local ~/.ssh/config
自动解析本地 OpenSSH 配置文件，识别 Host 别名、IP 地址、端口与私钥 IdentityFile	Automatically parse local OpenSSH config for Host aliases, IPs, ports, and IdentityFiles
🔍 扫描并预览主机清单	🔍 Scan & Preview Host Inventory
📥 从外部工具一键迁移 (Termius / Xshell / MobaXterm)	📥 One-Click Migration from External Tools (Termius / Xshell / MobaXterm)
支持解析并批量导入从其他桌面终端软件导出的 .json、.tsv 或会话配置文件	Supports parsing and batch importing .json, .tsv, or session configs exported from other terminals
📂 选择文件导入...	📂 Select File to Import...
🕒 本地最近自动配置快照	🕒 Recent Automatic Local Configuration Snapshots
应用在每次执行批量导入、大改动或升级前自动保存本地轻量快照，支持随时一键无损回滚	App automatically saves lightweight snapshots before imports or major edits for lossless rollback
↺ 回滚	↺ Rollback
网络规则重构前自动安全快照	Automatic safety snapshot before network rules refactoring
全量主机资产定期快照	Periodic full host assets snapshot
安全与高级诊断	Security & Advanced Diagnostics
安全隐私与开发者诊断	Security, Privacy & Developer Diagnostics
本地凭据加密主密码、F12 开发者调试控制台入口与运行时诊断日志级别	Local credential encryption master password, F12 debug console toggle, and diagnostic logging
本地凭据主密码保护 (Master Password)	Local Credentials Master Password Protection (Master Password)
使用主密码对存储在本地的私钥与密码执行 AES-256 加密保护	Use master password to encrypt locally stored private keys and passwords with AES-256
🛠️ 开发者调试控制台 (Developer Debug Panel)	🛠️ Developer Debug Console (Developer Debug Panel)
在主界面左侧活动栏显示调试控制台入口，并允许快捷键 F12 唤出诊断抓取器	Show debug console entry on the left activity bar and enable F12 to invoke diagnostic capture
危险区：恢复出厂设置 (Factory Reset)	Danger Zone: Factory Reset (Factory Reset)
清空所有用户偏好设置并恢复默认初始状态（不会删除已保存的主机资产）	Reset all user preference settings to defaults (will not delete saved host assets)
⚠️ 恢复默认偏好	⚠️ Reset Preferences to Defaults
主机资产调试	Host Assets
凭据密钥调试	Credentials
代码片段调试	Snippets
设置外观调试	Appearance
图形渲染管线	Pipeline
实时日志流	Live Logs
Skia 原生图形渲染管线矩阵 (Google Skia Pipelines)	Skia Native Graphics Pipeline Matrix (Google Skia Pipelines)
Skia Auto (官方推荐)	Skia Auto (Recommended)
DirectX/DWM 硬件自动加速	DirectX/DWM Hardware Acceleration
强制标准 OpenGL 硬件加速管线	Enforce Standard OpenGL Hardware Acceleration Pipeline
现代 Vulkan 超低开销显卡直通	Modern Vulkan Ultra-low Overhead GPU Passthrough
Skia CPU 纯软解	Skia CPU Pure Software Rasterizer
SIMD 纯 CPU 光栅化 (0 显卡依赖)	SIMD Pure CPU Rasterization (Zero GPU Dependency)
静态打包图标总数:	Static Packaged Icons Total:
个全量矢量资产	full vector assets
GPU 纹理缓存池状态:	GPU Texture Cache Status:
42 / 42 全部已预热常驻	42 / 42 All Pre-warmed & Resident
预估显存总占用:	Estimated VRAM Footprint:
~168 KB (微量无感)	~168 KB (Negligible)
运行时磁盘 I/O 开销:	Runtime Disk I/O Overhead:
0 ms (静态内联)	0 ms (Statically Inlined)
Skia 2D (Google Chrome / Flutter 同款)	Skia 2D (Google Chrome / Flutter Equivalent)
GPU 硬件加速 (DirectX / OpenGL / Vulkan)	GPU Hardware Acceleration (DirectX / OpenGL / Vulkan)
fontdue SIMD 矢量光栅化 + Alacritty VT100 状态机	fontdue SIMD Vector Rasterizer + Alacritty VT100 State Machine
120 FPS (8.3ms 极速吞吐)	120 FPS (8.3ms High Throughput)
已启用 (Partial Repaint / 0% 待机功耗)	Enabled (Partial Repaint / 0% Standby Power)
DirectWrite / FreeType 次像素抗锯齿	DirectWrite / FreeType Subpixel Anti-aliasing
GitHub Light (纯白明亮)	GitHub Light (Clean White)
Solarized Light (暖黄护眼)	Solarized Light (Warm Eye-care)
Docker 容器健康列表	Docker Container Health List
🐳 + Docker ps	🐳 + Docker ps
K8s 重启 Deployment	K8s Restart Deployment
☸️ + K8s 重启	☸️ + K8s Restart
排查端口占用	Troubleshoot Port In Use
🔌 + 端口排查	🔌 + Port Troubleshoot
MySQL 活跃长事务	MySQL Active Long Transactions
🐬 + MySQL 慢查询	🐬 + MySQL Slow Queries
生产 Ed25519 密钥 (带口令)	Production Ed25519 Key (Passphrase Protected)
🔑 + Ed25519 密钥	🔑 + Ed25519 Key
CI/CD RSA-4096 密钥	CI/CD RSA-4096 Key
📜 + RSA 密钥	📜 + RSA Key
堡垒机特权 Root 密码	Bastion Privileged Root Password
🔒 + Root 密码	🔒 + Root Password
10 台	10 Hosts
20 台	20 Hosts
50 台	50 Hosts
100 台	100 Hosts
AI 终端助手	AI Terminal Assistant
AI 运维副驾驶	AI Ops Copilot
输入自然语言，自动生成 Linux Shell 指令与参数	Type natural language to automatically generate Linux Shell commands
例如: 查找大于100MB的日志文件...	e.g. Find log files larger than 100MB...
CPU 使用率	CPU Usage
内存占用 (RAM)	Memory Usage (RAM)
磁盘空间 (/dev/sda1)	Disk Space (/dev/sda1)
会话备忘笔记	Session Notes
✎ 当前主机会话专用备忘录 (自动保存)	✎ Current host session private memo (auto saved)
SFTP 文件传输	SFTP File Transfer
SFTP 传输	SFTP Transfer
批量更新所有端口	Batch Update All Ports
批量修改全量主机在线状态:	Batch Update All Hosts Status:
批量修改与数据治理	Batch Updates & Data Governance
批量重置全量主机端口:	Batch Reset All Host Ports:
批量主机生成	Batch Host Generation
批量主机生成与场景注入	Batch Host Generation & Scenario Injection
批量追加生成	Batch Append Hosts
立即批量生成主机	Generate Hosts Now
一键场景预设:	Scenario Presets:
注入场景	Inject Scenario
覆盖并生成	Overwrite & Generate
覆盖现有数据 (未勾选则为追加模式)	Overwrite existing data (append if unchecked)
恢复初始 (3台)	Reset to Initial (3 Hosts)
恢复默认精选片段	Reset to Default Curated Snippets
恢复默认精选预设	Reset to Default Curated Presets
恢复默认预设	Reset to Default Presets
单项增删改与状态治理	Single Item CRUD & Status Governance
快速添加单台主机	Quick Add Single Host
快速添加新分组	Quick Add New Group
快速添加自定义片段:	Quick Add Custom Snippet:
快速添加自定义凭据:	Quick Add Custom Credential:
快速注入预设脚本	Quick Inject Preset Script
预设凭据单项注入	Preset Credential Injection
确认添加单条片段	Confirm Add Snippet
确认添加单条凭据	Confirm Add Credential
确认添加分组	Confirm Add Group
确认添加主机	Confirm Add Host
模拟诊断日志	Simulate Diagnostic Logs
请在上方点击「模拟诊断日志」或在主界面执行操作以捕获 Tracing 事件	Click 'Simulate Diagnostic Logs' or interact with UI to capture Tracing events
重置与清空:	Reset & Clear:
全量卡片总数:	Total Cards:
全量节点总数:	Total Nodes:
全量主机数	Total Hosts
全量总节点	Total Nodes
全量状态一键批量变更:	Batch Change All States:
生成数量:	Quantity:
